date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:45	110711/110711	---M-Z	200	added ('OK')	text/html	etag:%221b077-5cec289198b70-gzip%22	https://themesbrand.com/skote/layouts/index.html	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/index.html	(from )
11:57:47	31/31	---M--	200	added ('OK')	text/plain	etag:%221f-5ccf82d636e40%22	https://themesbrand.com/robots.txt		(from )
11:57:47	16958/16958	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22423e-5c292b388abd6%22	https://themesbrand.com/skote/layouts/assets/images/favicon.ico	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/favicon.ico	(from https://themesbrand.com/skote/layouts/index.html)
11:57:48	220311/220311	---M-Z	200	added ('OK')	text/css	etag:%2235c97-5cec28918cfec-gzip%22	https://themesbrand.com/skote/layouts/assets/css/bootstrap.min.css	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/css/bootstrap.min.css	(from https://themesbrand.com/skote/layouts/index.html)
11:57:49	88002/88002	---M-Z	200	added ('OK')	text/css	etag:%22157c2-5ced9649782d7-gzip%22	https://themesbrand.com/skote/layouts/assets/css/app.min.css	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/css/app.min.css	(from https://themesbrand.com/skote/layouts/index.html)
11:57:49	778/778	---M--	200	added ('OK')	image/svg+xml	etag:%2230a-5c292b388ea57%22	https://themesbrand.com/skote/layouts/assets/images/logo.svg	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/logo.svg	(from https://themesbrand.com/skote/layouts/index.html)
11:57:49	385276/385276	---MCZ	200	added ('OK')	text/css	etag:%225e0fc-5c292b386a82a-gzip%22	https://themesbrand.com/skote/layouts/assets/css/icons.min.css	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/css/icons.min.css	(from https://themesbrand.com/skote/layouts/index.html)
11:57:50	9668/9668	---M--	200	added ('OK')	image/png	etag:%2225c4-5c292b388ea57%22	https://themesbrand.com/skote/layouts/assets/images/logo-dark.png	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/logo-dark.png	(from https://themesbrand.com/skote/layouts/index.html)
11:57:50	778/778	---M--	200	added ('OK')	image/svg+xml	etag:%2230a-5c292b388ea57%22	https://themesbrand.com/skote/layouts/assets/images/logo-light.svg	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/logo-light.svg	(from https://themesbrand.com/skote/layouts/index.html)
11:57:50	9526/9526	---M--	200	added ('OK')	image/png	etag:%222536-5c292b388ea57%22	https://themesbrand.com/skote/layouts/assets/images/logo-light.png	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/logo-light.png	(from https://themesbrand.com/skote/layouts/index.html)
11:57:51	1242/1242	---M--	200	added ('OK')	image/jpeg	etag:%224da-5c292b388bb76%22	https://themesbrand.com/skote/layouts/assets/images/flags/us.jpg	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/flags/us.jpg	(from https://themesbrand.com/skote/layouts/index.html)
11:57:51	99977/99977	---M--	200	added ('OK')	image/png	etag:%2218689-5c292b388ea57%22	https://themesbrand.com/skote/layouts/assets/images/megamenu-img.png	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/megamenu-img.png	(from https://themesbrand.com/skote/layouts/index.html)
11:57:51	1039/1039	---M--	200	added ('OK')	image/jpeg	etag:%2240f-5c292b388bb76%22	https://themesbrand.com/skote/layouts/assets/images/flags/spain.jpg	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/flags/spain.jpg	(from https://themesbrand.com/skote/layouts/index.html)
11:57:52	663/663	---M--	200	added ('OK')	image/jpeg	etag:%22297-5c292b388bb76%22	https://themesbrand.com/skote/layouts/assets/images/flags/germany.jpg	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/flags/germany.jpg	(from https://themesbrand.com/skote/layouts/index.html)
11:57:52	637/637	---M--	200	added ('OK')	image/jpeg	etag:%2227d-5c292b388bb76%22	https://themesbrand.com/skote/layouts/assets/images/flags/italy.jpg	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/flags/italy.jpg	(from https://themesbrand.com/skote/layouts/index.html)
11:57:52	633/633	---M--	200	added ('OK')	image/jpeg	etag:%22279-5c292b388bb76%22	https://themesbrand.com/skote/layouts/assets/images/flags/russia.jpg	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/flags/russia.jpg	(from https://themesbrand.com/skote/layouts/index.html)
11:57:53	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-5c292b387c170%22	https://themesbrand.com/skote/layouts/assets/images/brands/github.png	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/brands/github.png	(from https://themesbrand.com/skote/layouts/index.html)
11:57:53	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-5c292b387c170%22	https://themesbrand.com/skote/layouts/assets/images/brands/bitbucket.png	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/brands/bitbucket.png	(from https://themesbrand.com/skote/layouts/index.html)
11:57:54	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-5c292b387c170%22	https://themesbrand.com/skote/layouts/assets/images/brands/dribbble.png	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/brands/dribbble.png	(from https://themesbrand.com/skote/layouts/index.html)
11:57:54	772/772	---M--	200	added ('OK')	image/png	etag:%22304-5c292b387c170%22	https://themesbrand.com/skote/layouts/assets/images/brands/dropbox.png	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/brands/dropbox.png	(from https://themesbrand.com/skote/layouts/index.html)
11:57:54	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-5c292b387c170%22	https://themesbrand.com/skote/layouts/assets/images/brands/mail_chimp.png	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/brands/mail_chimp.png	(from https://themesbrand.com/skote/layouts/index.html)
11:57:55	1477/1477	---M--	200	added ('OK')	image/png	etag:%225c5-5c292b387c170%22	https://themesbrand.com/skote/layouts/assets/images/brands/slack.png	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/brands/slack.png	(from https://themesbrand.com/skote/layouts/index.html)
11:57:55	18274/18274	---M--	200	added ('OK')	image/jpeg	etag:%224762-5c292b3894819%22	https://themesbrand.com/skote/layouts/assets/images/users/avatar-3.jpg	C:/Users/PC/Desktop/Site/Site3/Oygut/themesbrand.com/skote/layouts/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/skote/layouts/index.html)
